status	read_id	taxid	V4	V5	domain	phylum	class	order	family	genus	species
C	M06338:88:000000000-JCJ4V:1:2111:14679:8412	45185	229|196	1:4 3:20 1672:5 3:1 1672:3 1673:19 45185:15 1673:1 45185:6 1673:2 45185:1 1673:5 45185:1 1673:3 3:37 45185:4 1673:5 45185:4 3:59 |:| 3:59 45185:4 1673:5 45185:4 3:37 1673:3 45185:1 1673:5 45185:1 1673:2 45185:6 1673:1 45185:15 1673:19	Bacteria	Firmicutes	Bacilli	Caldalkalibacillales	Caldalkalibacillaceae	Caldalkalibacillus	NA
C	M06338:88:000000000-JCJ4V:1:2111:22632:8494	26240	204|163	3:4 1:2 3:85 2375:1 3:1 2375:1 3:8 2375:9 3:2 2375:1 3:49 1:7 |:| 1:7 3:49 2375:1 3:2 0:18 3:1 0:1 3:5 0:2 26240:5 3:38	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	NA
C	M06338:88:000000000-JCJ4V:1:2111:21604:8503	1688	231|206	0:8 44340:5 3:54 1673:5 3:14 1673:12 3:11 1673:3 3:1 1688:14 1680:1 1688:17 1673:6 1672:3 1686:2 1672:5 1686:3 1673:1 1686:6 1672:5 3:14 1:7 |:| 1:7 3:14 1672:5 1686:6 1673:1 1686:3 1672:5 1686:2 1672:3 1673:6 1688:17 1680:1 1688:14 3:1 1673:3 3:11 1673:12 3:14 1673:5 3:42	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
C	M06338:88:000000000-JCJ4V:1:2111:7147:8657	46343	133|133	3:30 46343:6 3:5 0:4 46343:1 0:5 46337:38 3:10 |:| 3:10 46337:38 0:5 46343:1 0:4 3:5 46343:6 3:30	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	NA
C	M06338:88:000000000-JCJ4V:1:2111:19351:9061	49640	250|159	4:64 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:40 47666:1 4:31 49640:29 4:2 48920:1 4:5 47666:1 4:5 48920:1 49640:13 |:| 4:84 0:7 4:1 0:3 4:2 0:21 49640:6 48920:1	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:2111:15377:9175	49640	240|54	4:64 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:40 47666:1 4:31 49640:29 4:2 48920:1 4:5 47666:1 4:5 48920:1 49640:3 |:| 4:20	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:2111:22946:9289	48797	251|193	4:79 47711:2 4:3 48797:5 46958:3 8943:4 4:1 46958:3 4:5 47673:1 46958:1 4:110 |:| 4:66 46958:1 4:5 46958:1 4:86	Nucletmycea	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida-Lodderomyces clade	NA
C	M06338:88:000000000-JCJ4V:1:2111:9038:9302	46979	238|35	4:2 1:5 4:21 1:2 4:10 1:33 4:4 0:1 4:6 0:5 46979:1 0:5 4:4 0:1 46976:5 0:4 4:44 1:41 4:4 1:3 4:3 |:| 47180:1	Holozoa	Porifera	Choanoflagellida	Codonosigidae	NA	Sphaeroeca	NA
C	M06338:88:000000000-JCJ4V:1:2111:16996:9339	44313	193|182	3:16 43869:5 3:3 43869:7 3:1 43869:8 44313:7 43869:5 3:6 43869:2 0:1 43972:1 0:1 43869:11 3:7 43869:5 44311:1 43869:4 44311:27 44160:9 44311:2 3:7 44160:3 43869:1 44160:1 43869:5 3:13 |:| 3:13 43869:5 44160:1 43869:1 44160:3 3:7 44311:2 44160:9 44311:27 43869:4 44311:1 43869:5 3:7 43869:11 0:1 43972:1 0:1 43869:2 3:6 43869:5 44313:7 43869:8 3:1 43869:7 3:3 43869:5 3:5	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Apibacter	NA
C	M06338:88:000000000-JCJ4V:1:2111:18354:9487	49640	250|247	4:64 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:40 47666:1 4:31 49640:29 4:2 48920:1 4:5 47666:1 4:5 48920:1 49640:13 |:| 4:110 49599:3 4:5 49640:6 48920:4 49640:16 48920:1 4:5 47666:1 4:5 48920:1 4:2 49640:29 4:25	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
